Piston Cap Ball End,Activation Pin Cap,Activation Pin,Sleeve Body,Piston,Screen,Retainer,Retainer Clip,Extended Ball to Ball Distance,Compressed Ball to Ball Distance,Locked Ball to Ball Distance,Pallet Stop Shelf Gap,Retainer Clearance Distance,Extended Wedge Annulus Clearance,Ball End Type
00-049133,00-601661,00-601659,00-049199,00-049198,00-047064,00-049271,00-049278,44.50500000000001,43.515,44.19850000000001,9.319999999999997,3.720499999999997,-0.10189999999999877,Female
00-050361,00-601661,00-048389,00-049199,00-049198,00-047064,00-049271,00-049278,44.50500000000001,40.495000000000005,44.19850000000001,6.299999999999998,0.7004999999999972,-0.10189999999999877,Male
00-050589,00-601661,00-601659,00-049199,00-049198,00-047064,00-049271,00-049278,44.50500000000001,43.265,44.19850000000001,9.069999999999997,3.470499999999997,-0.10189999999999877,Female
00-050649,00-601661,00-601659,00-049199,00-049198,00-047064,00-049271,00-049278,44.50500000000001,43.09,44.19850000000001,8.894999999999998,3.2954999999999997,-0.10189999999999877,Female
00-048395,00-601661,00-601659,00-049199,00-049198,00-047064,00-049271,00-049278,44.50500000000001,40.505,44.19850000000001,6.309999999999998,0.7104999999999988,-0.10189999999999877,Female
00-050649,00-601661,00-601659,00-049721,00-049198,00-047064,00-049271,00-049278,49.800000000000004,43.09,48.18999,3.599999999999998,1.985500000000001,0.7005999999999997,Female
00-050589,00-601661,00-601659,00-049721,00-049198,00-047064,00-049271,00-049278,49.800000000000004,43.265,48.18999,3.7749999999999986,2.160499999999998,0.7005999999999997,Female
00-049133,00-601661,00-601659,00-049721,00-049198,00-047064,00-049271,00-049278,49.800000000000004,43.515,48.18999,4.024999999999999,2.410499999999998,0.7005999999999997,Female
00-050589,00-601661,00-601659,00-050578,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.265,48.65189000000001,3.5749999999999993,2.360499999999994,0.3625000000000007,Female
00-050589,00-601661,00-601659,00-050610,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.265,48.651140000000005,3.5749999999999993,1.8604999999999938,1.261800000000001,Female
00-050589,00-601661,00-601659,00-050134,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.265,48.65214000000001,3.5749999999999993,2.360499999999994,0.3628,Female
00-050649,00-601661,00-601659,00-050134,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.09,48.65214000000001,3.3999999999999986,2.1854999999999967,0.3628,Female
00-050649,00-601661,00-601659,00-050578,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.09,48.65189000000001,3.3999999999999986,2.1854999999999967,0.3625000000000007,Female
00-049133,00-601661,00-601659,00-050134,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.515,48.65214000000001,3.8249999999999993,2.610499999999994,0.3628,Female
00-049133,00-601661,00-601659,00-050578,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.515,48.65189000000001,3.8249999999999993,2.610499999999994,0.3625000000000007,Female
